player_id,player_name,bat_hand
675659,"Jones, Greg",S
675662,"Whatley, Matt",R
675910,"Williams, Chris",R
675915,"Bañuelos, David",R
675961,"Williams, Alika",R
675986,"Smith-Njigba, Canaan",L
675994,"Brown, Devonte",R
676017,"Ramirez, Micael",R
676024,"Williams, Donta'",L
676038,"Messinger, Skyler",R
676044,"Seymour, Bob",L
676045,"Martin, Casey",R
676053,"Opitz, Casey",R
676059,"Westburg, Jordan",R
676063,"McGuire, Shane",L
676070,"Amaya, Jacob",R
676113,"DeLoach, Zach",L
676116,"Noda, Ryan",L
676155,"Frizzell, Will",L
676198,"Pinder, Chase",R
676203,"Castañon, Marcos",R
676205,"Hardman, Tyler",R
676280,"Dearden, Tyler",L
676288,"Radcliff, Baron",L
676309,"Britton, Zach",L
676332,"Knight, Caleb",R
676356,"DeLuca, Jonny",R
676369,"Velázquez, Nelson",R
676391,"Clement, Ernie",S
676423,"Rock, Dylan",R
676439,"Feduccia, Hunter",L
676463,"Cantrelle, Hayden",S
676466,"Winkler, Jack",R
676473,"Sparks, Lamar",R
676475,"Burleson, Alec",L
676480,"Barrero, Jose",R
676509,"Crouch, Josh",R
676545,"Servideo, Anthony",L
676551,"Hicklen, Brewer",R
676566,"Ross, Shawn",R
676572,"Wagaman, Eric",R
676609,"Caballero, José",R
676625,"Bannon, Rylan",R
676628,"Contreras, Mark",S
676632,"Madris, Bligh",L
676646,"Reks, Zach",L
676679,"Vázquez, Luis",R
676694,"Meyers, Jake",R
676701,"Trejo, Alan",R
676724,"Young, Jared",L
676801,"McCormick, Chas",R
676811,"Nieporte, Quincy",R
676812,"McCusker, Carson",R
676857,"Cintron, Jancarlos",R
676882,"Seagle, Chandler",R
676896,"Roller, Chris",R
676914,"Schneider, Davis",R
676939,"Herron, Jimmy",R
676946,"Batten, Matthew",R
677007,"Breaux, Josh",R
677008,"Kjerstad, Heston",L
677049,"Hatcher, Josh",L
677060,"Stevens, Chad",R
677319,"Barstad, Cameron",L
677338,"Hill, GJ",S
677341,"Johnson, Osiris",R
677342,"Jones, Brock",L
677347,"Paris, Kyren",R
677356,"Young, Carter",S
677565,"Robinson, Kristian",R
677570,"Bracho, Aaron",L
677578,"Rodríguez, Carlos",L
677581,"Idrogo, Cesar",L
677587,"Rocchio, Brayan",S
677588,"Tena, José",L
677592,"Pereira, Everson",R
677594,"Rodríguez, Julio",R
677599,"Hiraldo, Miguel",R
677601,"Rodriguez, Keyber",R
677605,"Verdugo, Luis",R
677649,"Duran, Ezequiel",R
677673,"Vargas, Imanol",L
677800,"Abreu, Wilyer",L
677870,"Jiménez, Leo",R
677941,"Adams, Jordyn",R
677942,"Alexander, Blaze",R
677943,"Banfield, Will",R
677950,"Thomas, Alek",L
677951,"Witt Jr., Bobby",R
677954,"Groshans, Jordan",S
677956,"Hinds, Rece",R
678006,"Decker, Nick",L
678009,"Meadows, Parker",L
678010,"Schnell, Nick",L
678011,"Seigler, Anthony",S
678021,"Northcut, Nicholas",R
678099,"Logan, Gavin",L
678173,"McCabe, David",S
678218,"Valenzuela, Brandon",S
678225,"Bae, Ji Hwan",L
678232,"Valdez, Jesus",R
678246,"Vargas, Miguel",R
678285,"Pertuz, Fabian",R
678323,"Cerda, Allan",R
678391,"Vivas, Jorbit",L
678413,"Planez, Alexfri",R
678489,"Barrosa, Jorge",S
678545,"Basabe, Osleivis",R
678554,"Mead, Curtis",R
678577,"Perez, Junior",R
678652,"Chirinos, Jesus",R
678662,"Tovar, Ezequiel",R
678689,"Castillo, Neyfy",R
678706,"Garcia, Reivaj",L
678729,"Medina, Nelson",R
678742,"Nunez, Rainer",R
678746,"Hernandez, Diego",L
678760,"Leonard, Eddys",S
678807,"Santiago, Carlos",S
678828,"Salom, Dereck",R
678837,"Restituyo, Bladimir",R
678849,"Espinosa, Rolando",R
678854,"Pena, Viandel",L
678863,"Arroyo, Carlos",R
678877,"Noel, Jhonkensy",R
678882,"Rafaela, Ceddanne",R
678893,"Encarnacion, Jefferson",L
678894,"Peguero, Liover",R
678900,"Ovalles, Alexander",L
678926,"De La Cruz, Carlos",R
678962,"Vellojin, Daniel",L
679032,"Rojas, Johan",R
679529,"Torkelson, Spencer",R
679545,"Suozzi, Joe",R
679563,"Rodríguez, José",R
679602,"Ehrhard, Drew",R
679631,"Vavra, Terrin",L
679663,"Scott, Stephen",L
679734,"Carreras, Julio",R
679741,"Patiño, Wilderd",R
679751,"Bautista Jr., Danny",R
679754,"Rodriguez, Alberto",L
679788,"Rogers, Jack",L
679821,"Jordan, Rowdey",S
679822,"Foscue, Justin",R
